Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,135.990005,137.330002,133.580002,137.100006,137.100006,9924400
2020-01-03,134.509995,138.889999,134.000000,137.509995,137.509995,8637000
2020-01-06,136.259995,144.550003,135.755005,143.369995,143.369995,14422000
2020-01-07,144.009995,144.229996,137.910004,138.190002,138.190002,11574700
2020-01-08,137.110001,137.929993,132.850006,134.639999,134.639999,11291300
2020-01-09,135.669998,138.770004,131.240005,133.789993,133.789993,12630700
2020-01-10,132.639999,133.000000,128.100006,128.399994,128.399994,13439800
2020-01-13,130.229996,135.000000,126.300003,133.929993,133.929993,18440100
2020-01-14,134.039993,137.130005,131.119995,133.419998,133.419998,11144500
2020-01-15,132.869995,136.059998,132.130005,132.500000,132.500000,7642700
2020-01-16,132.869995,134.270004,128.399994,131.070007,131.070007,11206500
2020-01-17,131.250000,131.600006,128.380005,130.380005,130.380005,9173500
2020-01-21,132.149994,137.500000,131.229996,136.630005,136.630005,12801100
2020-01-22,137.520004,140.500000,132.309998,132.429993,132.429993,11829900
2020-01-23,132.179993,134.990005,129.550003,134.070007,134.070007,8818800
2020-01-24,133.919998,135.660004,128.789993,130.089996,130.089996,8488100
2020-01-27,127.529999,128.516998,123.779999,126.209999,126.209999,9239400
2020-01-28,127.300003,130.289993,125.010002,129.610001,129.610001,8173100
2020-01-29,130.440002,131.800003,128.619995,128.880005,128.880005,5805200
2020-01-30,127.559998,130.880005,126.800003,130.639999,130.639999,4472500
2020-01-31,129.100006,129.529999,120.349998,120.949997,120.949997,16948000
2020-02-03,123.900002,129.479996,123.199997,127.500000,127.500000,10128900
2020-02-04,129.100006,132.789993,128.770004,131.029999,131.029999,7994400
2020-02-05,133.460007,133.509995,125.019997,125.940002,125.940002,8797400
2020-02-06,126.400002,129.020004,124.233002,126.160004,126.160004,6425800
2020-02-07,126.300003,127.600998,123.900002,124.250000,124.250000,5447800
2020-02-10,124.989998,133.369995,124.800003,132.210007,132.210007,13483900
2020-02-11,135.710007,142.449997,134.100006,137.000000,137.000000,19908000
2020-02-12,140.279999,141.300003,137.029999,138.289993,138.289993,12578200
2020-02-13,139.500000,141.710007,138.360001,139.050003,139.050003,20641400
2020-02-14,149.190002,151.199997,127.400002,130.250000,130.250000,63567800
2020-02-18,131.660004,133.550003,125.239998,127.150002,127.150002,19434100
2020-02-19,129.220001,131.600006,126.400002,126.559998,126.559998,17247300
2020-02-20,127.250000,127.790001,121.120003,124.080002,124.080002,15397000
2020-02-21,122.949997,123.750000,118.239998,119.379997,119.379997,12555300
2020-02-24,110.300003,118.000000,108.050003,116.989998,116.989998,16435500
2020-02-25,119.480003,120.489998,113.059998,118.669998,118.669998,14533000
2020-02-26,118.290001,119.360001,112.330002,112.709999,112.709999,9723300
2020-02-27,106.879997,115.199997,105.569000,110.029999,110.029999,15852100
2020-02-28,107.000000,114.120003,106.000000,113.669998,113.669998,12392800
2020-03-02,115.489998,116.160004,111.330002,114.669998,114.669998,9298100
2020-03-03,113.980003,114.750000,106.419998,108.620003,108.620003,11612300
2020-03-04,110.010002,110.449997,105.653000,109.610001,109.610001,8881200
2020-03-05,108.199997,110.077003,105.660004,106.440002,106.440002,8623400
2020-03-06,104.349998,105.300003,98.599998,102.019997,102.019997,11841500
2020-03-09,91.000000,101.949997,90.400002,96.260002,96.260002,10503200
2020-03-10,101.059998,101.059998,92.750000,97.300003,97.300003,9694200
2020-03-11,96.379997,97.349998,89.150002,90.629997,90.629997,8737000
2020-03-12,80.650002,86.639999,78.800003,78.809998,78.809998,13580500
2020-03-13,82.709999,83.480003,74.250000,80.949997,80.949997,11944000
2020-03-16,74.699997,76.470001,63.590000,63.840000,63.840000,14455800
2020-03-17,60.299999,75.790001,58.220001,69.459999,69.459999,24859200
2020-03-18,64.785004,74.849998,61.500000,67.500000,67.500000,19522000
2020-03-19,69.470001,75.541000,67.220001,74.120003,74.120003,13199800
2020-03-20,76.519997,80.080002,73.160004,76.129997,76.129997,13755000
2020-03-23,77.370003,90.440002,74.769997,89.459999,89.459999,18705900
2020-03-24,96.500000,101.779999,92.099998,97.199997,97.199997,17774300
2020-03-25,97.849998,100.000000,88.879997,94.849998,94.849998,15629700
2020-03-26,93.199997,96.436996,87.000000,89.750000,89.750000,15213300
2020-03-27,87.400002,89.500000,83.129997,87.449997,87.449997,9820700
2020-03-30,88.949997,90.849998,86.150002,89.610001,89.610001,7899500
2020-03-31,89.160004,94.699997,87.080002,87.480003,87.480003,9175500
2020-04-01,84.980003,86.500000,81.639999,82.419998,82.419998,8694600
2020-04-02,81.410004,84.622002,80.750000,82.529999,82.529999,5268800
2020-04-03,82.279999,83.339996,79.379997,81.459999,81.459999,4738100
2020-04-06,83.709999,90.440002,83.500000,89.489998,89.489998,7148400
2020-04-07,92.849998,93.680000,86.559998,87.800003,87.800003,6193000
2020-04-08,88.900002,92.150002,87.519997,87.809998,87.809998,6446900
2020-04-09,90.099998,94.101997,89.129997,92.449997,92.449997,7271800
2020-04-13,92.500000,96.800003,91.070000,96.559998,96.559998,8648400
2020-04-14,107.989998,108.599998,102.419998,106.529999,106.529999,22987900
2020-04-15,102.419998,114.320000,101.970001,113.000000,113.000000,18210700
2020-04-16,117.000000,132.399994,115.099998,128.000000,128.000000,38289500
2020-04-17,123.680000,128.009995,118.558998,126.800003,126.800003,20691800
2020-04-20,127.849998,135.470001,127.349998,130.039993,130.039993,18823100
2020-04-21,131.750000,132.740005,118.120003,123.559998,123.559998,19014500
2020-04-22,124.430000,125.732002,119.250000,122.190002,122.190002,12271200
2020-04-23,123.000000,128.399994,122.212997,123.059998,123.059998,11360900
2020-04-24,124.860001,126.019997,121.639999,124.830002,124.830002,7636000
2020-04-27,126.300003,130.360001,125.320000,128.630005,128.630005,6580600
2020-04-28,126.050003,127.260002,118.510002,119.360001,119.360001,13001600
2020-04-29,119.184998,122.860001,116.650002,119.519997,119.519997,8984900
2020-04-30,119.165001,124.500000,118.698997,121.230003,121.230003,8027700
2020-05-01,119.550003,122.000000,111.360001,114.019997,114.019997,9717900
2020-05-04,113.459999,124.330002,112.690002,124.300003,124.300003,14551600
2020-05-05,126.300003,126.769997,121.769997,123.489998,123.489998,9657800
2020-05-06,123.540001,128.949997,122.510002,127.519997,127.519997,10567100
2020-05-07,131.199997,138.789993,130.279999,137.500000,137.500000,22127800
2020-05-08,125.570000,133.669998,124.345001,126.660004,126.660004,29648100
2020-05-11,125.019997,132.880005,124.599998,132.179993,132.179993,14463900
2020-05-12,132.690002,134.979996,126.680000,127.160004,127.160004,11524300
