Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,44.369999,45.060001,43.799999,45.060001,44.611912,1773900
2020-01-03,44.709999,45.330002,44.419998,45.259998,44.809917,799000
2020-01-06,44.380001,44.990002,43.869999,44.369999,43.928768,1264500
2020-01-07,44.450001,45.279999,44.419998,44.419998,43.978271,1233400
2020-01-08,44.230000,44.810001,43.250000,43.560001,43.126827,1875900
2020-01-09,43.959999,44.419998,43.139999,43.759998,43.324837,1343200
2020-01-10,37.090000,37.459999,35.099998,35.959999,35.602402,16432300
2020-01-13,35.590000,35.930000,35.060001,35.560001,35.206383,3961700
2020-01-14,35.400002,36.360001,35.349998,35.669998,35.315285,3221600
2020-01-15,35.709999,36.369999,35.450001,35.580002,35.226181,1948700
2020-01-16,35.750000,38.220001,35.750000,38.200001,37.820129,4253200
2020-01-17,38.110001,38.860001,37.299999,37.869999,37.493408,2555900
2020-01-21,37.840000,38.070000,37.349998,37.549999,37.176590,1308900
2020-01-22,37.540001,37.959999,37.110001,37.220001,36.849873,1045100
2020-01-23,37.000000,37.470001,36.799999,37.279999,36.909275,1195300
2020-01-24,37.369999,37.770000,37.150002,37.680000,37.305298,1360400
2020-01-27,36.759998,38.080002,36.599998,37.549999,37.176590,1493300
2020-01-28,37.650002,37.759998,37.430000,37.730000,37.354801,740200
2020-01-29,37.680000,38.189999,37.520000,37.580002,37.206295,617600
2020-01-30,37.450001,37.970001,37.049999,37.889999,37.513210,642600
2020-01-31,38.000000,38.910000,37.869999,38.130001,37.750824,1280300
2020-02-03,38.279999,38.570000,37.880001,38.020000,37.641918,1143400
2020-02-04,38.529999,38.779999,37.939999,38.009998,37.632015,1031500
2020-02-05,38.360001,38.700001,37.680000,37.860001,37.483509,1268700
2020-02-06,38.000000,38.639999,37.930000,38.419998,38.037937,668500
2020-02-07,38.410000,38.529999,37.869999,38.139999,37.760723,869400
2020-02-10,38.270000,39.200001,38.150002,39.110001,38.721077,1033300
2020-02-11,39.250000,39.750000,38.660000,39.570000,39.176502,1008000
2020-02-12,39.570000,39.790001,38.799999,38.970001,38.582470,860800
2020-02-13,38.849998,39.200001,38.630001,39.169998,38.780479,519900
2020-02-14,39.070000,39.529999,38.900002,39.209999,38.820084,586200
2020-02-18,39.209999,39.259998,37.939999,38.419998,38.037937,1644900
2020-02-19,38.290001,38.650002,37.759998,38.020000,37.641918,1638700
2020-02-20,30.400000,32.259998,29.959999,31.889999,31.572876,11435900
2020-02-21,31.629999,33.230000,31.629999,32.630001,32.305519,4147100
2020-02-24,31.700001,31.889999,30.180000,31.299999,30.988743,3502400
2020-02-25,31.340000,31.500000,27.920000,27.950001,27.672056,3818000
2020-02-26,28.000000,28.120001,25.090000,25.780001,25.523636,4890000
2020-02-27,25.760000,27.340000,24.910000,25.840000,25.583038,3983500
2020-02-28,25.340000,26.100000,25.020000,25.280001,25.028608,2882000
2020-03-02,25.309999,25.309999,23.510000,25.139999,24.889999,3846100
2020-03-03,25.250000,25.990000,23.400000,23.870001,23.870001,3181900
2020-03-04,24.049999,24.180000,22.639999,23.570000,23.570000,3382400
2020-03-05,22.990000,23.000000,20.660000,21.090000,21.090000,4329100
2020-03-06,20.180000,22.200001,20.000000,21.330000,21.330000,4065300
2020-03-09,19.750000,21.000000,18.629999,19.020000,19.020000,3604100
2020-03-10,20.360001,20.549999,18.090000,20.360001,20.360001,5293300
2020-03-11,19.590000,19.830000,16.799999,17.320000,17.320000,4539300
2020-03-12,14.570000,15.070000,13.260000,13.490000,13.490000,5753300
2020-03-13,14.590000,16.910000,10.910000,16.910000,16.910000,7923600
2020-03-16,12.000000,17.200001,11.880000,14.580000,14.580000,4747900
2020-03-17,14.780000,14.940000,12.070000,12.860000,12.860000,4698500
2020-03-18,12.030000,12.030000,8.750000,10.360000,10.360000,5580100
2020-03-19,10.000000,12.250000,9.660000,11.390000,11.390000,4924800
2020-03-20,12.220000,12.590000,11.120000,11.800000,11.800000,5934700
2020-03-23,11.600000,12.000000,10.600000,11.190000,11.190000,3211700
2020-03-24,12.860000,13.870000,12.310000,12.940000,12.940000,5421100
2020-03-25,14.230000,16.129999,13.350000,15.040000,15.040000,8855200
2020-03-26,15.870000,17.400000,15.050000,15.580000,15.580000,6251300
2020-03-27,14.960000,15.000000,13.820000,13.950000,13.950000,4453800
2020-03-30,13.870000,13.870000,12.410000,12.570000,12.570000,4957500
2020-03-31,12.840000,13.810000,12.250000,12.540000,12.540000,3751800
2020-04-01,12.050000,12.260000,11.200000,11.410000,11.410000,4781700
2020-04-02,11.300000,11.910000,10.430000,11.050000,11.050000,3406800
2020-04-03,11.080000,11.140000,9.930000,10.680000,10.680000,3361700
2020-04-06,11.780000,13.420000,11.560000,12.640000,12.640000,4492400
2020-04-07,14.510000,16.299999,13.180000,13.410000,13.410000,6474100
2020-04-08,13.910000,14.560000,13.160000,14.290000,14.290000,5380500
2020-04-09,16.000000,17.490000,15.600000,16.139999,16.139999,7176300
2020-04-13,16.200001,16.240000,14.040000,14.700000,14.700000,4133300
2020-04-14,15.840000,16.250000,14.930000,15.510000,15.510000,4859600
2020-04-15,14.440000,15.820000,14.260000,15.780000,15.780000,5757000
2020-04-16,15.590000,15.740000,14.500000,14.890000,14.890000,4582000
2020-04-17,16.000000,16.389999,15.430000,15.590000,15.590000,6287900
2020-04-20,14.750000,16.750000,14.510000,15.670000,15.670000,6685400
2020-04-21,15.170000,15.610000,14.510000,14.920000,14.920000,3460600
2020-04-22,15.310000,15.390000,14.790000,15.200000,15.200000,3819400
2020-04-23,15.510000,16.809999,15.280000,16.080000,16.080000,3743200
2020-04-24,16.240000,16.290001,15.450000,16.000000,16.000000,2551900
2020-04-27,16.320000,18.520000,16.120001,17.690001,17.690001,6302600
2020-04-28,19.400000,19.500000,17.740000,18.969999,18.969999,5609200
2020-04-29,19.980000,21.280001,19.950001,21.139999,21.139999,6735300
2020-04-30,21.500000,21.719999,18.820000,20.010000,20.010000,7381700
2020-05-01,19.260000,20.440001,18.500000,20.150000,20.150000,5583300
2020-05-04,19.059999,20.719999,18.610001,20.620001,20.620001,5317300
2020-05-05,21.260000,21.290001,18.639999,18.920000,18.920000,5146100
2020-05-06,19.100000,19.770000,18.709999,19.010000,19.010000,3530100
2020-05-07,19.209999,20.059999,18.840000,18.990000,18.990000,4553800
2020-05-08,19.490000,21.350000,19.120001,21.190001,21.190001,4517600
2020-05-11,20.750000,20.980000,19.920000,20.299999,20.299999,2463300
2020-05-12,20.590000,20.770000,18.690001,18.830000,18.830000,2640900
2020-05-13,18.820000,18.830000,17.320000,17.940001,17.940001,3873900
2020-05-14,17.000000,18.620001,16.459999,18.610001,18.610001,3532400
2020-05-15,18.290001,19.400000,17.870001,19.110001,19.110001,2604000
2020-05-18,20.889999,22.930000,20.650000,22.690001,22.690001,7175400
2020-05-19,22.760000,23.709999,21.549999,22.650000,22.650000,5047900
2020-05-20,23.469999,24.040001,22.160000,22.780001,22.780001,4924100
2020-05-21,22.700001,23.590000,22.219999,23.090000,23.090000,2946700
2020-05-22,23.330000,23.620001,22.570000,23.540001,23.540001,2193900
2020-05-26,25.080000,26.389999,24.950001,25.860001,25.860001,5565500
2020-05-27,27.379999,27.719999,25.260000,27.350000,27.350000,5191500
2020-05-28,26.350000,26.600000,23.860001,24.120001,24.120001,7341300
2020-05-29,23.160000,24.340000,22.510000,22.980000,22.980000,4422400
2020-06-01,22.920000,24.230000,22.610001,23.969999,23.969999,3145400
2020-06-02,24.430000,24.600000,22.860001,23.330000,23.330000,4043100
2020-06-03,23.639999,25.639999,23.629999,25.309999,25.309999,4645100
2020-06-04,25.530001,25.740000,24.410000,25.170000,25.170000,4045300
2020-06-05,27.959999,28.240000,24.709999,25.200001,25.200001,7059400
2020-06-08,27.650000,28.080000,26.330000,27.059999,27.059999,5312000
2020-06-09,26.180000,26.629999,24.520000,26.290001,26.290001,3553000
2020-06-10,26.030001,26.120001,23.400000,24.530001,24.530001,4037600
2020-06-11,21.010000,23.350000,20.389999,21.889999,21.889999,7828000
2020-06-12,23.400000,23.790001,21.450001,22.740000,22.740000,3221400
2020-06-15,21.629999,23.920000,21.309999,23.600000,23.600000,3609400
2020-06-16,25.100000,25.510000,23.610001,24.230000,24.230000,4304400
2020-06-17,23.980000,24.120001,23.209999,23.590000,23.590000,2379200
2020-06-18,23.299999,24.600000,22.950001,23.400000,23.400000,2976500
2020-06-19,23.760000,23.780001,21.350000,21.910000,21.910000,5133900
2020-06-22,21.719999,21.719999,20.809999,21.520000,21.520000,3016100
2020-06-23,21.910000,21.959999,21.020000,21.690001,21.690001,2470200
2020-06-24,21.170000,21.230000,19.350000,19.780001,19.780001,3494300
2020-06-25,19.120001,20.000000,18.840000,19.879999,19.879999,2759400
2020-06-26,19.680000,19.830000,18.530001,18.600000,18.600000,2865500
2020-06-29,18.719999,19.670000,18.110001,19.389999,19.389999,2537900
2020-06-30,19.200001,19.490000,18.580000,19.209999,19.209999,2002800
2020-07-01,19.540001,20.709999,19.299999,19.870001,19.870001,2578500
2020-07-02,20.389999,20.670000,19.290001,19.510000,19.510000,1733600
2020-07-06,20.080000,20.330000,19.379999,19.870001,19.870001,1792600
2020-07-07,19.490000,20.129999,19.049999,19.049999,19.049999,3179200
2020-07-08,19.059999,19.590000,18.360001,19.510000,19.510000,2204700
2020-07-09,20.100000,20.100000,18.709999,19.110001,19.110001,2954900
2020-07-10,19.000000,20.379999,18.700001,20.309999,20.309999,2348500
2020-07-13,20.680000,20.719999,19.420000,19.480000,19.480000,2763200
2020-07-14,19.100000,19.540001,18.799999,19.129999,19.129999,2157200
2020-07-15,20.540001,21.790001,20.370001,21.730000,21.730000,4422300
2020-07-16,21.090000,21.330000,20.580000,21.170000,21.170000,2401400
2020-07-17,21.030001,21.070000,20.070000,20.549999,20.549999,2070600
2020-07-20,20.370001,20.760000,19.889999,20.219999,20.219999,1867000
2020-07-21,20.459999,20.860001,20.290001,20.719999,20.719999,1419100
2020-07-22,20.440001,20.680000,20.230000,20.530001,20.530001,2171900
2020-07-23,20.290001,20.930000,20.059999,20.790001,20.790001,1687900
2020-07-24,20.549999,20.799999,20.000000,20.139999,20.139999,1609000
2020-07-27,20.129999,20.150000,19.010000,19.490000,19.490000,2225300
2020-07-28,19.250000,19.719999,19.049999,19.190001,19.190001,2323000
2020-07-29,18.750000,18.889999,17.610001,18.500000,18.500000,5428800
2020-07-30,18.000000,18.110001,16.950001,17.309999,17.309999,5071400
2020-07-31,17.180000,17.530001,16.990000,17.389999,17.389999,2372500
2020-08-03,17.209999,17.209999,16.059999,16.360001,16.360001,3768100
2020-08-04,16.309999,17.420000,16.309999,17.150000,17.150000,2986300
2020-08-05,17.510000,17.820000,17.030001,17.200001,17.200001,2067600
2020-08-06,17.309999,17.930000,16.980000,17.750000,17.750000,2347000
2020-08-07,17.559999,18.400000,17.190001,18.379999,18.379999,2202700
2020-08-10,18.580000,19.790001,18.580000,19.700001,19.700001,2588400
2020-08-11,20.570000,21.490000,19.959999,20.180000,20.180000,3128200
2020-08-12,20.549999,20.680000,19.440001,19.799999,19.799999,1994500
2020-08-13,19.530001,20.719999,19.530001,20.600000,20.600000,2293700
2020-08-14,20.490000,21.420000,20.280001,21.150000,21.150000,1531600
2020-08-17,21.150000,21.340000,19.920000,20.309999,20.309999,2003200
2020-08-18,20.250000,20.520000,19.400000,19.959999,19.959999,1495600
2020-08-19,19.900000,20.389999,19.629999,19.750000,19.750000,1220200
2020-08-20,19.570000,19.730000,19.139999,19.260000,19.260000,1174000
2020-08-21,19.330000,19.900000,19.090000,19.139999,19.139999,1351800
2020-08-24,19.340000,20.299999,18.559999,20.200001,20.200001,2210200
2020-08-25,20.450001,20.709999,20.200001,20.700001,20.700001,1489300
2020-08-26,20.690001,20.700001,20.320000,20.500000,20.500000,1578000
2020-08-27,21.000000,22.969999,20.879999,22.010000,22.010000,4370800
2020-08-28,22.270000,24.000000,22.260000,23.430000,23.430000,3662500
2020-08-31,23.129999,23.290001,21.670000,21.730000,21.730000,2548200
2020-09-01,21.340000,22.010000,21.190001,21.480000,21.480000,1422300
2020-09-02,21.580000,21.860001,21.250000,21.690001,21.690001,1276900
2020-09-03,21.790001,22.530001,20.709999,20.860001,20.860001,2714800
2020-09-04,21.280001,22.469999,20.770000,22.160000,22.160000,2300900
2020-09-08,21.480000,23.000000,21.440001,22.799999,22.799999,2426000
2020-09-09,22.660000,23.570000,21.660000,23.320000,23.320000,4741900
2020-09-10,23.430000,24.500000,22.320000,22.330000,22.330000,4820300
2020-09-11,22.379999,22.490000,21.389999,21.990000,21.990000,2134200
2020-09-14,22.219999,24.040001,21.990000,24.010000,24.010000,2811700
2020-09-15,23.799999,24.510000,23.250000,24.270000,24.270000,1901000
2020-09-16,24.340000,25.530001,24.090000,25.090000,25.090000,2393200
2020-09-17,24.610001,24.969999,24.160000,24.600000,24.600000,1476900
2020-09-18,24.500000,24.639999,23.770000,23.840000,23.840000,3704400
2020-09-21,22.930000,23.090000,21.549999,22.030001,22.030001,2375300
2020-09-22,22.040001,22.629999,21.610001,22.250000,22.250000,1686000
2020-09-23,22.450001,22.980000,21.309999,21.379999,21.379999,1911200
2020-09-24,21.090000,21.090000,19.940001,19.959999,19.959999,2952900
2020-09-25,20.139999,21.010000,19.900000,20.969999,20.969999,1853900
2020-09-28,21.520000,21.879999,21.000000,21.530001,21.530001,1112000
2020-09-29,21.410000,21.490000,20.330000,20.510000,20.510000,1282100
2020-09-30,20.650000,21.389999,20.150000,20.299999,20.299999,1473100
2020-10-01,20.400000,20.459999,19.600000,19.940001,19.940001,2589700
2020-10-02,19.250000,20.840000,19.020000,20.740000,20.740000,1634300
2020-10-05,21.000000,21.010000,19.730000,20.160000,20.160000,2626500
2020-10-06,20.620001,21.600000,20.469999,20.580000,20.580000,1743000
2020-10-07,20.959999,21.639999,20.850000,21.450001,21.450001,1770300
2020-10-08,21.709999,21.740000,21.240000,21.660000,21.660000,1471100
2020-10-09,21.670000,22.100000,21.480000,21.590000,21.590000,1008700
2020-10-12,21.270000,21.719999,21.049999,21.070000,21.070000,1006500
2020-10-13,20.780001,20.809999,19.930000,20.070000,20.070000,1649900
2020-10-14,20.120001,20.670000,19.549999,19.559999,19.559999,1248800
2020-10-15,19.320000,19.870001,19.160000,19.450001,19.450001,1125200
2020-10-16,19.459999,19.600000,19.190001,19.290001,19.290001,1073900
2020-10-19,19.510000,20.090000,19.070000,19.219999,19.219999,1448500
2020-10-20,19.559999,20.860001,19.400000,20.570000,20.570000,2500900
2020-10-21,20.290001,20.420000,19.510000,20.120001,20.120001,1416800
2020-10-22,20.270000,22.049999,20.070000,21.900000,21.900000,2051100
2020-10-23,22.000000,22.809999,21.709999,22.680000,22.680000,2077900
2020-10-26,22.129999,22.500000,21.299999,21.879999,21.879999,2111100
2020-10-27,21.860001,21.959999,21.270000,21.660000,21.660000,2706600
2020-10-28,19.799999,20.770000,19.370001,20.040001,20.040001,4917900
2020-10-29,20.030001,21.250000,19.900000,20.910000,20.910000,2115900
2020-10-30,21.700001,22.690001,21.260000,21.620001,21.620001,3371200
2020-11-02,21.670000,22.190001,21.129999,21.770000,21.770000,2413000
2020-11-03,22.110001,23.219999,22.049999,23.080000,23.080000,1893800
2020-11-04,22.910000,24.410000,22.410000,23.290001,23.290001,2369700
2020-11-05,23.740000,24.990000,23.590000,24.600000,24.600000,2846000
2020-11-06,24.309999,25.090000,24.160000,24.990000,24.990000,1630500
2020-11-09,31.700001,33.349998,28.250000,29.400000,29.400000,7683700
2020-11-10,29.000000,30.270000,27.860001,29.530001,29.530001,3108300
2020-11-11,29.559999,29.799999,27.350000,28.020000,28.020000,2537900
2020-11-12,27.200001,28.350000,26.820000,27.340000,27.340000,1977600
2020-11-13,27.830000,29.650000,27.610001,28.389999,28.389999,3041200
2020-11-16,29.940001,30.000000,28.450001,29.110001,29.110001,3043500
2020-11-17,28.670000,30.000000,28.510000,29.780001,29.780001,1484200
2020-11-18,30.000000,30.590000,29.410000,29.420000,29.420000,1508900
2020-11-19,29.420000,30.000000,29.020000,29.389999,29.389999,1307300
2020-11-20,29.900000,30.459999,29.520000,29.889999,29.889999,1468100
2020-11-23,30.410000,32.709999,30.260000,32.459999,32.459999,4311700
2020-11-24,33.430000,33.880001,32.340000,32.860001,32.860001,2599600
2020-11-25,32.619999,32.730000,31.590000,32.509998,32.509998,1175000
2020-11-27,32.470001,33.189999,32.060001,32.410000,32.410000,674600
2020-11-30,32.340000,32.360001,30.600000,30.730000,30.730000,1782400
2020-12-01,31.510000,32.160000,31.020000,31.410000,31.410000,1390500
2020-12-02,31.080000,33.330002,30.940001,33.139999,33.139999,2506600
2020-12-03,33.459999,34.889999,33.169998,34.310001,34.310001,2485700
2020-12-04,34.480000,34.709999,33.419998,34.299999,34.299999,1820000
2020-12-07,34.049999,34.950001,32.430000,33.070000,33.070000,2205900
2020-12-08,32.500000,33.869999,32.500000,33.259998,33.259998,1735700
2020-12-09,33.639999,34.180000,32.299999,32.840000,32.840000,1634900
2020-12-10,32.369999,33.160000,31.920000,32.400002,32.400002,1491200
2020-12-11,32.680000,33.040001,31.190001,31.330000,31.330000,2202900
